,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
NrSal,-0.9502879395372451,0.06290149677631345,-0.06814954854017269,0.19484549361778208,-0.0021261489309974584,-0.009841607023399928,0.05805503816649614,0.022704723238326764,0.0977630582564368,-0.09501102987018785,0.08427033383883867,0.0028831473420244764,0.01641015438772008,0.05895525502067274,0.0019392399060446687,-0.0728660241979233,0.0385483953536594,-0.04394113128799631,0.010664186930614068,-0.016733507111831896,-0.08852430891978268
RS,0.504824402184459,-0.029309940032739946,-0.36153272211293785,-0.4365972206430182,-0.3458917101665277,-0.0653604739085429,-0.19243235909868275,-0.34444622038985445,0.2986417791324203,-0.1477892224604032,0.10372212472701846,0.02452939753098892,-0.06784304631189665,0.014901154472397869,-0.07535479729807726,0.09800095545797398,0.02148574612097683,0.014153669279255977,0.012895151790274919,-0.002872019643659274,-0.007172146209456262
SalN,-0.7791548271307501,-0.45175001410194715,0.12948502888985292,-0.16370977974996095,-0.056763655769311194,-0.12646409947344178,-0.07540127494563864,0.0047858751756888595,0.07002904445637165,0.10308582828022617,0.21877916141869755,0.023330203319912226,-0.0692342670937956,-0.09474852731719949,0.17318317205411618,0.031917270072552316,-0.04603170782450579,-0.08586725792026709,0.02415235501156243,0.0388848976729177,0.006343229702956464
SupL,-0.4481786571310768,-0.31694880812966386,-0.053246965119560556,0.6972387575264357,-0.012916404653328764,0.08238614738461002,0.1695208740623145,-0.15715678384938928,0.2978757554380198,0.004149864594360543,-0.06306376112603326,-0.09446011151417386,0.13090024140425444,-0.15127156754710866,-0.03189748567762703,0.0601574059347149,0.0421745337939228,0.013350410888016475,-0.02193994812717698,0.022423997800668723,0.008363306318744346
Apa,-0.7966982960967627,0.32049421336650097,0.002940056352986548,-0.12494167276526405,-0.18373367604903054,0.006182641996076687,-0.2539828257779766,0.02986481374086409,0.09441569724752864,0.24527318189798844,0.09151574859592397,-0.15653549336482545,0.07639033935862319,0.07369563504664017,-0.11185839076053081,-0.10935366087707737,0.08034842200316764,-0.051046126995563726,-0.012777118407928495,0.0076412937560579874,0.027725854486445118
Gaz,-0.5841206010899122,-0.043804334984141206,-0.29822343330009926,0.26614157858066767,0.07399847299820084,0.5520444871229002,-0.29365449247853775,0.08324029989267771,-0.08757189801719555,-0.07031768946426185,-0.024439269396878023,-0.07866961277848346,-0.2655873188049599,-0.043212001174771,-0.03604982095470252,0.0222606784115349,-0.0038935622845475333,-0.007945119542588499,-0.0051435637900913884,0.003951857364718045,0.002441759284170992
Pensia,-0.8034567980164771,0.17483008809560016,-0.2287758146199689,-0.2566174647869363,0.015461107283178704,0.20905639722237299,0.0021598994299292782,-0.20212545848831193,-0.06629386599726261,-0.19622481879539577,0.1086391379467617,-0.09482074336766344,0.11310632033037574,-0.010446051332139208,0.14963218360112338,-0.11194091539140451,-0.018369824224769956,0.08743251450782552,-0.0342115692820122,0.010566916026133783,0.010887220590298846
Paturi,-0.7046357654610068,0.2753710156976148,-0.40367107781003564,-0.10468452745364608,-0.21848336891961515,-0.038004865701034965,-0.06967748770192958,0.18150747553274102,0.06473311740469653,-0.15931799795222057,-0.2339052829856716,0.22955204875481824,0.07728241322271233,-0.11784156983938683,-0.02159896525133333,-0.07122021094540332,-0.03160408501380373,-0.051695346963725186,0.01821231976895278,0.012461570475080449,0.015365920848313014
RataAb,0.04355271090084603,0.34198902967853323,0.5783280013116961,0.2705071859674611,0.23825491556424905,-0.022325146639323504,-0.5315280720096643,-0.3186570447357007,0.04545116565625286,-0.011128470183980936,-0.08668062145980275,0.1276956669690163,0.030525787659003354,-0.021045085032349167,0.06498482293775953,-0.01171307133452937,0.01440849930925695,-0.0027448896515673733,0.010103123899204843,-0.010717380840252482,-0.0021558576808998406
AbsUniv,-0.8726395581557874,0.1698940134109298,-0.018948572181196707,-0.20557014967282583,0.031322109966322044,-0.21250214724172797,-0.18803829591344498,0.06667824352529012,-0.08026009259352936,0.01607928848442451,-0.0682197547297489,-0.13344123686413983,0.07519375254311574,-0.06495347084290679,-0.02646707448615598,0.14863762335666147,-0.10560226700713679,-0.015847403664355934,-0.08180504410410665,-0.02977107459808268,-0.016330224700431658
